District code,State name,District name,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Households_with_Car_Jeep_Van,Households_with_Scooter_Motorcycle_Moped,Households_with_Television,Households_with_Telephone_Mobile_Phone,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Main_source_of_drinking_water_Tapwater_Households
434,MADHYA PRADESH,Ratlam,67830,213825,3644,14905,5757,67819,107463,146318,8593,287465,151425,96263,92722
435,MADHYA PRADESH,Ujjain,123526,323379,7501,27733,12167,107407,181659,248508,11795,375722,260973,165304,129402
436,MADHYA PRADESH,Shajapur,32204,232735,1382,10797,4200,49847,88946,160720,12061,290964,164788,68975,57416
437,MADHYA PRADESH,Dewas,59521,270457,3518,16523,9017,77281,124826,168269,15967,291655,193157,112895,64926
438,MADHYA PRADESH,Dhar,75637,349639,2388,18626,8080,85477,123750,183741,18345,409621,198890,126246,122739
439,MADHYA PRADESH,Indore,417170,593576,48691,111478,64865,286973,464337,479762,19449,602097,545277,480633,291070
440,MADHYA PRADESH,Khargone (West Nimar),51538,304291,2162,14189,4992,67290,111950,146889,21346,357719,207464,82265,176601
441,MADHYA PRADESH,Barwani,30115,181139,1158,8516,3102,31152,48847,70169,12134,236395,95231,45979,70117
442,MADHYA PRADESH,Rajgarh,30688,231130,1611,12718,4185,46026,76942,150010,20452,333957,146783,54463,44489
443,MADHYA PRADESH,Vidisha,41617,181510,1926,12888,5682,55126,96565,150643,8340,290809,190365,73505,47389
444,MADHYA PRADESH,Bhopal,281442,452912,40788,94729,60383,213130,339750,353909,14353,477778,420371,352351,290507
445,MADHYA PRADESH,Sehore,30868,212138,1566,11166,6041,60435,100011,141356,14775,245577,144152,80229,42540
446,MADHYA PRADESH,Raisen,34499,194373,1141,9931,6017,48130,87258,133315,17777,265409,153849,82664,55642
447,MADHYA PRADESH,Betul,45270,230974,2109,13755,5740,59230,94586,121106,14436,317408,184872,81190,88762
448,MADHYA PRADESH,Harda,22174,95066,986,5376,3556,30952,45661,63615,7758,106844,71326,51766,21860
449,MADHYA PRADESH,Hoshangabad,61415,198076,2871,14456,7335,67460,112371,138517,20360,242346,166373,122069,64944
450,MADHYA PRADESH,Katni,38086,172416,2179,13094,3958,35359,76207,100862,11531,275663,74604,56180,50054
451,MADHYA PRADESH,Jabalpur,192581,452023,20443,58601,26487,154678,285248,274726,21458,495406,326960,286802,229977
452,MADHYA PRADESH,Narsimhapur,28462,172144,1603,9751,4664,39769,71602,90668,22660,235787,114992,87038,54904
453,MADHYA PRADESH,Dindori,4576,62372,554,6447,1291,7979,13765,25956,4722,165866,12242,9945,11475
454,MADHYA PRADESH,Mandla,18413,143803,912,9042,2246,19880,40591,51683,10629,243211,41648,33217,33609
455,MADHYA PRADESH,Chhindwara,73284,344875,3588,20034,8235,75332,138316,150476,20823,427305,245014,111901,164167
456,MADHYA PRADESH,Seoni,26893,228695,1182,10417,4048,37873,66919,84804,14979,303513,112129,68267,65941
457,MADHYA PRADESH,Balaghat,27283,277927,1712,13306,4045,46168,82475,100910,20200,373515,178778,73522,38273
458,MADHYA PRADESH,Guna,34184,144248,2482,11740,5968,43568,80642,120895,7267,232368,118411,47903,46271
459,MADHYA PRADESH,Ashoknagar,15886,84720,619,6016,2373,23638,42898,81251,4250,161138,87957,26227,17501
460,MADHYA PRADESH,Shahdol,24255,113184,1733,10817,3819,29839,45685,72253,7118,239921,45831,43590,26235
461,MADHYA PRADESH,Anuppur,23388,81338,1290,7266,2895,29063,41067,57032,3306,162326,35107,29828,29861
462,MADHYA PRADESH,Sidhi,9569,102228,837,10790,3320,18017,26502,82709,4541,231835,27536,17833,8738
463,MADHYA PRADESH,Singrauli,22141,73091,2627,13939,6599,31059,34162,81892,4761,226637,34183,26814,18880
464,MADHYA PRADESH,Jhabua,16683,125411,744,5591,2215,20076,22470,60130,10035,204203,46247,24293,22215
465,MADHYA PRADESH,Alirajpur,9021,81006,297,5126,1174,9888,11262,33439,5156,129506,29985,13859,7327
466,MADHYA PRADESH,Khandwa (East Nimar),40893,202710,1907,10404,3697,44522,78218,100376,19551,258399,161049,71544,89058
467,MADHYA PRADESH,Burhanpur,40478,112420,986,5058,2142,22453,58527,55999,8078,136804,110403,50613,95022
468,GUJARAT,Kachchh,140067,403294,9631,31961,28788,140540,250397,339331,4781,309632,329920,280257,367140
469,GUJARAT,Banas Kantha,84832,396873,3424,23149,22723,68665,144792,369986,20278,371169,229091,146022,347860
470,GUJARAT,Patan,66310,223424,2231,12870,7802,41235,108006,176829,8834,194944,157715,123977,233095
471,GUJARAT,Mahesana,180985,385609,7759,33731,25163,119579,245131,301436,9516,340058,290574,232825,375792
472,GUJARAT,Sabar Kantha,99037,438606,5262,25425,22379,122399,180909,269423,9640,371683,231094,182583,294228
473,GUJARAT,Gandhinagar,132683,262539,12107,33662,26385,106981,178594,204833,5300,206928,193174,171166,257436
474,GUJARAT,Ahmadabad,965017,1456046,126341,273651,174812,692591,1159650,1196482,12177,1378412,1295122,1241055,1265476
475,GUJARAT,Surendranagar,77857,302068,2975,15309,10088,99436,177591,246026,7009,268228,192991,120741,238259
476,GUJARAT,Rajkot,362140,747352,21785,67370,55289,428744,571843,651936,9724,689314,593448,543342,651594
477,GUJARAT,Jamnagar,142974,386538,11573,30384,20471,185194,270555,331968,5665,318502,285899,242841,290541
478,GUJARAT,Porbandar,41686,117040,1653,5639,4395,45156,80820,92715,2269,93729,79955,72287,77490
479,GUJARAT,Junagadh,144561,498326,6628,26991,17447,195597,318954,406578,8371,423662,344568,313730,336428
480,GUJARAT,Amreli,80378,273331,2538,12765,10236,113906,164282,222389,4500,234962,201157,173045,200362
481,GUJARAT,Bhavnagar,171327,500757,7297,28925,17517,200864,293361,400446,7301,422064,375112,292210,390572
482,GUJARAT,Anand,147122,378310,9902,32523,19352,104613,203467,244185,7967,344329,254683,230571,323542
483,GUJARAT,Kheda,99982,372226,5710,24502,12788,84414,171342,218734,10647,349334,220959,172599,302055
484,GUJARAT,Panch Mahals,59096,398937,3456,19753,9656,72703,90896,214889,10692,421258,181557,121676,121463
485,GUJARAT,Dohad,28030,241117,1733,13497,5222,40551,41178,152144,6618,320408,87445,43164,32287
486,GUJARAT,Vadodara,411734,798277,53606,117818,72630,351423,497049,583926,11888,820324,632580,543474,639002
487,GUJARAT,Narmada,12997,101940,576,4081,2442,18771,31194,43827,1669,116515,65190,27223,41369
488,GUJARAT,Bharuch,121542,309091,10257,29531,21579,104126,178535,215142,4023,308906,261660,204943,253257
489,GUJARAT,The Dangs,2029,29794,137,1393,991,5662,9262,11148,495,47460,20702,13736,8485
490,GUJARAT,Navsari,114620,267679,6726,24397,18669,115177,153431,191691,3581,281244,201380,168150,148017
491,GUJARAT,Valsad,137209,329218,11020,31285,23938,128491,188248,242422,4137,346809,232568,170861,119981
492,GUJARAT,Surat,815423,1252452,55694,149331,106983,530528,788447,995637,8298,1275151,1150519,1103767,1047402
493,GUJARAT,Tapi,27759,142370,1601,7567,5534,41058,52359,75676,1755,171225,105297,49441,45663
494,DAMAN AND DIU,Diu,6177,10575,368,1055,398,4820,8405,9001,24,9252,9011,6282,10499
495,DAMAN AND DIU,Daman,25844,49249,1316,4543,3163,14167,28433,43171,313,47373,40804,40951,34905
496,DADRA AND NAGAR HAVELI,Dadra AND Nagar Haveli,29101,69558,2013,6017,4136,18647,34467,45973,368,70851,48312,39999,34001
497,MAHARASHTRA,Nandurbar,54335,186202,2579,17047,6135,39350,83144,101758,12229,307273,209973,91574,181543
498,MAHARASHTRA,Dhule,126138,315332,6065,27139,10912,74859,174524,210557,12099,387619,324594,127610,343030
499,MAHARASHTRA,Jalgaon,350029,720791,14297,56775,19560,170551,431221,459652,38533,810168,764674,316969,790910
500,MAHARASHTRA,Buldana,103898,423036,4767,24877,10034,84546,225282,293299,33751,481806,451231,195038,299430
501,MAHARASHTRA,Akola,107463,314490,6163,24232,9037,72460,176674,195210,23055,356809,342367,180311,229535
502,MAHARASHTRA,Washim,36840,196022,1875,10757,3623,37729,97022,125662,15533,241170,210412,87120,106117
503,MAHARASHTRA,Amravati,175917,512492,9438,36185,15285,124261,302188,295756,34409,605336,553087,342031,496146
504,MAHARASHTRA,Wardha,114029,266155,4313,16260,6970,70849,170620,166398,23351,289664,260962,171680,192075
505,MAHARASHTRA,Nagpur,599780,917626,57964,135750,71592,426007,728714,719955,46097,967598,914291,753520,760675
506,MAHARASHTRA,Bhandara,55948,227025,2932,13165,5184,54974,117299,131424,19822,259055,207488,168707,104699
507,MAHARASHTRA,Gondiya,38044,239981,2866,13595,5074,49085,104997,123673,14238,271917,174150,151792,50702
508,MAHARASHTRA,Gadchiroli,31014,145459,1663,11064,3098,29827,63613,73787,20007,224789,141192,66240,47920
509,MAHARASHTRA,Chandrapur,172661,418666,8239,31419,12746,113039,229635,250418,45698,498914,409521,229471,215128
510,MAHARASHTRA,Yavatmal,134500,446516,6094,29917,12132,99346,245261,279184,46620,599805,508756,198454,281437
511,MAHARASHTRA,Nanded,116284,488748,7548,43055,12341,83106,216364,384823,44689,556481,505657,217163,308749
512,MAHARASHTRA,Hingoli,27700,159114,1221,9676,3833,29815,73640,134812,12784,206387,180484,73460,81482
513,MAHARASHTRA,Parbhani,59272,272486,3982,21196,6973,50197,135933,224888,25942,275622,270114,103819,148444
514,MAHARASHTRA,Jalna,60219,288895,3791,17236,8400,75655,158182,255420,24008,278273,301447,141841,160526
515,MAHARASHTRA,Aurangabad,246324,589477,23258,69937,33322,230188,403594,526483,38022,614224,616355,360410,459847
516,MAHARASHTRA,Nashik,536781,904710,45039,138887,79590,396040,630639,798663,50036,1107241,1000293,551864,745698
517,MAHARASHTRA,Thane,1610460,2231800,256170,551643,172210,499186,1741244,2011713,51874,2375413,2207808,1627847,1964564
518,MAHARASHTRA,Mumbai Suburban,1586946,1964657,404757,652946,259702,310929,1725154,1918659,28170,1999138,1918734,1108623,1956872
519,MAHARASHTRA,Mumbai,494883,625927,121344,204234,80168,105842,543699,602209,9825,621109,610641,427208,623468
520,MAHARASHTRA,Raigarh,328277,547206,38570,96301,43536,158119,374021,453122,15724,574723,547214,369857,440717
521,MAHARASHTRA,Pune,1410448,1925019,235018,490260,273326,1013058,1555272,1792197,53670,1962040,1915302,1531966,1674141
522,MAHARASHTRA,Ahmadnagar,300116,677592,18370,68902,41423,320361,474009,639160,57605,694310,685370,415902,454298
523,MAHARASHTRA,Bid,82098,402052,5614,29198,12836,91909,205352,346380,38598,330203,374363,136943,230929
524,MAHARASHTRA,Latur,96018,381722,6217,29758,13150,81052,190739,302745,23432,406711,380772,178478,276749
525,MAHARASHTRA,Osmanabad,49180,240042,3209,18183,7974,51577,117741,200323,19674,266231,271812,96586,197371
526,MAHARASHTRA,Solapur,248255,595560,15145,59296,28219,229240,376000,576726,50495,707954,698690,355107,489698
527,MAHARASHTRA,Satara,271186,562653,14093,57423,36046,195582,374085,463058,30714,602990,575804,455235,470030
528,MAHARASHTRA,Ratnagiri,100860,367352,7752,31062,15191,61559,163470,258015,14800,382573,348019,273162,237852
529,MAHARASHTRA,Sindhudurg,42540,194228,3517,15721,9264,37159,98475,131855,9120,198711,181343,155696,62947
530,MAHARASHTRA,Kolhapur,340318,770005,22269,71879,49081,283565,507573,595768,14348,800038,771669,612194,701593
531,MAHARASHTRA,Sangli,227034,485126,13212,49056,29515,190760,310230,415009,25685,556209,517310,380072,393990
532,ANDHRA PRADESH,Adilabad,194954,566108,5512,45202,8338,96998,306433,403530,35823,510399,378259,191052,270862
533,ANDHRA PRADESH,Nizamabad,186740,545913,5261,35036,10088,102049,308270,428744,22717,448674,428790,245523,450359
534,ANDHRA PRADESH,Karimnagar,344667,926768,8831,46584,14175,192965,589283,691495,42493,642642,675283,452865,681510
535,ANDHRA PRADESH,Medak,163074,604719,8635,47170,14362,119276,349304,482440,24473,508133,421856,293838,494042
536,ANDHRA PRADESH,Hyderabad,581509,869721,149034,274653,124106,439890,746818,799174,8198,868553,873099,868186,862054
537,ANDHRA PRADESH,Rangareddy,773246,1211352,142879,291745,125225,498040,949853,1094233,14077,1178203,1101926,1028259,1099746
538,ANDHRA PRADESH,Mahbubnagar,136843,757821,6153,60812,12615,121553,362791,570261,48768,595275,508140,231015,681260
539,ANDHRA PRADESH,Nalgonda,228818,789225,7715,53777,18927,143010,464172,588791,45358,460960,479824,355700,598439
540,ANDHRA PRADESH,Warangal,237349,828077,12952,59006,15727,139404,462819,568508,62158,476334,504897,388583,597926
541,ANDHRA PRADESH,Khammam,219710,668519,8628,42171,11887,115078,416734,427722,33533,435972,403739,360531,468045
542,ANDHRA PRADESH,Srikakulam,149554,615432,3988,32280,5264,64087,297418,332230,21961,548681,178089,146386,179917
543,ANDHRA PRADESH,Vizianagaram,140361,527736,4453,24128,5002,61858,278230,265587,17903,443111,242486,131289,259205
544,ANDHRA PRADESH,Visakhapatnam,495389,1010250,45492,124729,46469,241192,666976,657824,24517,881691,679351,577722,634191
545,ANDHRA PRADESH,East Godavari,479914,1297273,22411,93784,25381,232073,821421,732492,46973,869294,869464,800168,908806
546,ANDHRA PRADESH,West Godavari,435334,1017568,12050,55613,14687,182698,648607,578252,46343,645717,720167,694857,900503
547,ANDHRA PRADESH,Krishna,632890,1163932,30438,101450,27969,212111,794346,743696,41217,838939,897201,863417,903992
548,ANDHRA PRADESH,Guntur,648568,1186028,19383,80434,17424,190079,816849,733133,44968,917356,904201,762845,739450
549,ANDHRA PRADESH,Prakasam,290947,763746,6151,43611,9071,105940,468022,494689,32095,518496,528518,321332,481021
550,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,233623,696024,10201,39583,11661,108096,486148,443579,28228,432631,519318,306095,529838
551,ANDHRA PRADESH,Y.S.R.,209532,671764,6667,39923,7558,98736,409629,439641,14710,509140,586881,314726,598146
552,ANDHRA PRADESH,Kurnool,195001,816721,10081,56478,10622,118153,543044,572406,24332,752035,702120,353289,696977
553,ANDHRA PRADESH,Anantapur,223016,897970,8606,48299,9915,144214,559461,581087,23899,713663,755971,353948,819675
554,ANDHRA PRADESH,Chittoor,324406,944555,13763,67087,16296,186568,611465,632803,30849,777100,754648,382377,835606
555,KARNATAKA,Belgaum,240742,808827,17560,73497,35104,228887,468274,641485,37900,937023,779974,316225,520520
556,KARNATAKA,Bagalkot,49345,301389,3745,26297,9726,69279,161280,234284,16701,347234,272956,66813,225386
557,KARNATAKA,Bijapur,58890,326594,4987,36571,11722,67663,164015,284523,23818,377850,297164,73300,195318
558,KARNATAKA,Bidar,34924,271439,3971,36072,9724,44813,116314,187983,14105,249676,214601,72805,158928
559,KARNATAKA,Raichur,51443,314547,5200,33903,11104,70603,162411,242634,22101,317276,286629,74326,219549
560,KARNATAKA,Koppal,31673,223166,2135,15263,6211,45100,113995,166636,12698,245348,218749,47931,186903
561,KARNATAKA,Gadag,31959,198064,3373,15625,5205,30957,104708,128416,9721,212163,191541,45668,156686
562,KARNATAKA,Dharwad,140584,347962,15013,49585,21127,91208,233604,266330,10402,366405,349008,212091,300159
563,KARNATAKA,Uttara Kannada,88187,290791,6129,21501,13152,73848,168026,218382,17386,308373,291554,189843,87791
564,KARNATAKA,Haveri,41517,295937,2456,17819,5681,47577,155076,194815,14680,318534,288495,121420,244655
565,KARNATAKA,Bellary,114040,440374,9626,40190,14163,111250,291101,327050,21554,445290,417150,156110,388435
566,KARNATAKA,Chitradurga,60522,307257,5711,28897,7425,55959,174344,206637,18054,311189,270699,107142,232128
567,KARNATAKA,Davanagere,100812,372671,7320,39416,15449,90291,256051,284572,19580,391623,353628,188046,282186
568,KARNATAKA,Shimoga,128087,363835,8791,35207,20781,111532,259899,299155,23385,391602,369749,286129,262501
569,KARNATAKA,Udupi,83810,224814,9070,24817,21349,65169,173033,220948,8769,240112,229830,214808,45737
570,KARNATAKA,Chikmagalur,74534,238505,4510,18727,15446,59192,169969,196527,13420,264535,246504,167369,186014
571,KARNATAKA,Tumkur,116539,562769,7971,41751,14929,137806,321848,372910,32324,599045,519944,206821,425369
572,KARNATAKA,Bangalore,1788912,2330631,430880,790103,414862,1053876,2042977,2180792,28775,2339026,2330659,2254599,1880155
573,KARNATAKA,Mandya,80452,391033,3367,20265,8188,96273,236020,265094,18238,415226,388674,159818,330827
574,KARNATAKA,Hassan,90599,400702,4851,23444,14979,97603,272295,307439,23092,421599,403052,171212,272269
575,KARNATAKA,Dakshina Kannada,175270,386300,23305,55233,47655,97610,285365,375945,11507,416185,404062,394069,185763
576,KARNATAKA,Kodagu,40958,113931,3308,10758,16963,22161,83016,104109,6032,134858,125535,112626,66724
577,KARNATAKA,Mysore,273706,640868,28397,80086,40420,211066,441131,472605,27304,669758,611989,378503,567444
578,KARNATAKA,Chamarajanagar,40944,212156,1334,11863,3122,36601,112332,122899,16032,221107,175226,57295,155514
579,KARNATAKA,Gulbarga,77334,404767,9752,52483,12872,73797,222126,307848,13941,408341,340251,118792,264350
580,KARNATAKA,Yadgir,18978,156222,1410,13216,4365,23524,61249,118907,10036,172593,139493,22523,94346
581,KARNATAKA,Kolar,72407,309494,5051,27235,9208,85198,209698,223139,13253,314509,242038,141675,208954
582,KARNATAKA,Chikkaballapura,50936,257243,2672,17360,6620,57408,152493,167548,11839,266111,189857,102957,201796
583,KARNATAKA,Bangalore Rural,77454,214253,3729,17066,10389,69005,156967,165588,7070,216427,201156,179589,150162
584,KARNATAKA,Ramanagara,46872,238926,2844,18003,5537,49046,141873,148199,15606,248258,222082,108891,210395
585,GOA,North Goa,132612,173951,23440,56266,44342,101378,146307,158921,2494,173494,159976,140924,150059
586,GOA,South Goa,102191,138810,17624,44299,35031,82436,115535,128759,2420,137639,129135,116414,125635
587,LAKSHADWEEP,Lakshadweep,1779,10669,327,1501,245,4109,6855,10023,83,7325,10394,10467,2168
588,KERALA,Kasaragod,74092,237670,10378,32484,19438,34267,179664,239445,15463,261196,236961,245747,36736
589,KERALA,Kannur,115356,511167,32653,83940,44108,76530,423337,503214,19594,533052,497016,530436,63652
590,KERALA,Wayanad,23028,149864,4712,15944,13027,22721,109972,155220,16489,172322,146524,170170,41863
591,KERALA,Kozhikode,145558,641660,36791,107602,54277,149330,490719,632201,31308,660228,613671,668842,143663
592,KERALA,Malappuram,139994,730119,27909,119918,59145,138096,485406,720497,26689,739014,692169,754074,115058
593,KERALA,Palakkad,178386,587583,27162,69440,43458,145549,447169,533223,30589,592131,511877,564142,269352
594,KERALA,Thrissur,338350,721625,56148,132774,84016,220583,616644,671105,33002,720918,712186,727823,204494
595,KERALA,Ernakulam,499291,771287,88737,184167,135307,322394,696129,741106,29359,770185,739614,774743,453148
596,KERALA,Idukki,54626,244844,8250,24863,21976,35855,207519,247060,22104,265219,203816,246878,83659
597,KERALA,Kottayam,187213,464039,37849,83999,73096,122177,406922,451226,19478,467182,416985,464124,110023
598,KERALA,Alappuzha,274392,507913,28842,71593,42404,144891,425707,466736,37188,495156,445638,490935,184698
599,KERALA,Pathanamthitta,128889,302296,21015,49466,43382,80551,255822,291089,14893,307917,256556,300484,61113
600,KERALA,Kollam,263148,630767,31542,83133,58867,144080,525754,569631,43764,640554,532705,626758,179861
601,KERALA,Thiruvananthapuram,343590,783872,71621,155321,96456,220675,658734,697741,66500,796526,613196,780821,316393
602,TAMIL NADU,Thiruvallur,621907,909400,75634,174279,54505,363741,857364,772398,17057,805187,786843,636991,625071
603,TAMIL NADU,Chennai,910262,1096334,217368,355838,146388,515581,1055696,1017122,9435,1092062,1073399,1057802,908587
604,TAMIL NADU,Kancheepuram,622095,961161,100322,200738,68427,418526,904619,832716,13344,822329,805076,651240,732354
605,TAMIL NADU,Vellore,417535,865913,20623,69912,20393,286002,797713,653681,18371,668730,693191,381181,765045
606,TAMIL NADU,Tiruvannamalai,176242,549077,6445,27529,7851,138956,505170,389329,12541,349169,262010,135162,496596
607,TAMIL NADU,Viluppuram,228172,748444,8472,43311,13030,184050,676077,547305,15143,459716,307759,169801,663958
608,TAMIL NADU,Salem,448968,835377,20660,63867,30660,352121,749932,650064,16423,681331,573822,321173,723966
609,TAMIL NADU,Namakkal,265276,441044,8960,31581,18550,212434,418420,352439,7462,378236,330625,194417,365810
610,TAMIL NADU,Erode,371015,595211,18604,58861,33405,288543,557479,483430,10196,529392,503567,322847,511890
611,TAMIL NADU,The Nilgiris,86277,180261,4561,17935,9543,15344,180262,149269,3912,189478,153523,103216,157127
612,TAMIL NADU,Dindigul,209640,500057,9155,38677,15538,147737,458486,379839,9191,458498,356703,187447,459347
613,TAMIL NADU,Karur,135831,264949,4915,17995,10648,117119,250010,210748,4724,221882,168148,118708,250198
614,TAMIL NADU,Tiruchirappalli,333478,651621,30046,79588,28571,234290,592152,537414,12804,556177,398567,340058,607773
615,TAMIL NADU,Perambalur,49390,135751,1507,7745,2259,32178,125953,103116,2940,119795,56453,33135,122903
616,TAMIL NADU,Ariyalur,39642,177502,1749,8371,2937,40913,165150,134358,6348,159746,40121,35933,173304
617,TAMIL NADU,Cuddalore,244610,598412,15396,50938,19828,178515,555029,470021,13516,455369,293116,230004,498446
618,TAMIL NADU,Nagapattinam,143846,381940,5585,19692,9042,86939,362211,282418,12469,352112,155663,163184,266938
619,TAMIL NADU,Thiruvarur,109580,303114,4416,15535,6790,72916,287260,225629,11980,295870,116640,130231,244534
620,TAMIL NADU,Thanjavur,223044,555582,13495,42912,17231,161750,522490,446982,21937,514461,275134,272623,499900
621,TAMIL NADU,Pudukkottai,82967,354493,4494,18272,7882,110324,324444,286329,14516,245499,112174,109247,301552
622,TAMIL NADU,Sivaganga,113822,314270,5773,24456,8222,91250,304124,258837,8534,246861,149850,139173,235593
623,TAMIL NADU,Madurai,391821,754141,34097,95311,30852,228557,708942,618922,10479,714764,551839,472221,678712
624,TAMIL NADU,Theni,147529,312310,4667,18830,6607,58034,291879,209456,5614,304761,275383,134167,320379
625,TAMIL NADU,Virudhunagar,235005,505950,10219,37357,9845,119486,457317,353909,7084,498189,317795,167021,453098
626,TAMIL NADU,Ramanathapuram,100484,291400,5172,22379,5524,49605,284169,252000,8534,244729,130578,120474,190837
627,TAMIL NADU,Thoothukkudi,200616,437916,11455,35791,14650,124851,407876,344974,7586,395509,289243,232062,397652
628,TAMIL NADU,Tirunelveli,361760,779130,19070,63590,24290,195295,694984,571195,11111,716049,471783,390799,731794
629,TAMIL NADU,Kanniyakumari,199188,465692,15673,52943,21577,115092,438938,398548,14252,444622,300602,427853,318483
630,TAMIL NADU,Dharmapuri,104785,337972,3651,18927,5843,107968,310765,258752,8871,229150,181094,72402,212222
631,TAMIL NADU,Krishnagiri,151246,409237,9619,38239,13381,150122,383553,321489,8121,343998,291593,148607,340224
632,TAMIL NADU,Coimbatore,675153,896325,63273,149920,87211,445588,841918,777347,9138,895691,852521,630809,886960
633,TAMIL NADU,Tiruppur,463530,655073,17181,55311,43477,333579,609808,560785,7814,644967,592867,400593,611353
634,PONDICHERRY,Yanam,10399,12859,207,597,226,2571,7393,7831,99,11258,11899,10895,13301
635,PONDICHERRY,PONDICHERRY,170120,226316,15437,34007,13245,116241,193771,190330,3787,203651,197582,157959,226748
636,PONDICHERRY,Mahe,3632,7150,574,1484,858,1747,6488,6913,76,7170,7105,7041,1604
637,PONDICHERRY,Karaikal,28366,47880,1868,4870,2550,19793,38869,38555,816,46796,34908,30326,45373
638,ANDAMAN AND NICOBAR ISLANDS,Nicobars,3644,9301,57,230,193,1991,4830,6669,121,7754,8462,8055,7898
639,ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,5897,18641,388,1193,910,3550,14735,19406,743,20248,14081,12704,20185
640,ANDAMAN AND NICOBAR ISLANDS,South Andaman,31998,52479,2789,6771,5323,17535,44400,52025,1228,53188,48604,44691,51292
